table_name,column_name,field_name
table587,column30675,Fitter Helper
table587,column27492,Fitter
table587,column27491,Carpenter
table567,column38978,Amendment No.@A/2
table633,column31697,Other Charges Amount
table549,column41679,Location Project Name
table549,column37504,SBC Tax Rate
table545,column19915,Deduct PF
table587,column41591,Profit Percent
table547,column8560,Out Time
table549,column28733,Reminder To E Mails
table542,column38078,Cheque in the Name of
table549,column28213,Adjusted Amount
table587,column29235,Thumb Rule Budget
table545,column38172,Pending
table573,column38176,Pending
table547,column38415,Actual Sign Out
table547,column38416,Modify Attendance
table547,column38414,Actual Sign In
table587,column14442,Activity Estimated Rate
table545,column19412,Paid Days
table547,column39790,Sign In Location
table547,column39791,Sign Out Location
table542,column8410,Net Advance
table606,column38669,KKC Rate
table547,column38969,Shift Type
table542,column39016,Deduct Against
table604,column10206,Name of Company
table542,column8412,Deduc Advance
table542,column39015,Purpose of Advance
table633,column10622,Telephone
table633,column10646,Project Name
table633,column10624,Mobile
table539,column39501,Deduct Against
table539,column39502,Purpose of Advance
table549,column37505,SBC Amount
table549,column38545,KKC Amount
table604,column10311,Unit
table604,column32842,Activity Code Perc Wise
table606,column59075,Location
table600,column42227,Activity Code Import
table545,column8498,Entertainment Allowance
table595,column34839,Roundrobbin Applicable
table545,column8496,HRA
table545,column8499,Phone Allowance
table545,column19820,Medical Allowance
table545,column19821,Special Allowance
table545,column32399,Leave Travel Allowance
table545,column32400,Books And Periodicals
table545,column34384,Driver Salary
table545,column34385,Vehicle Fuel Reimbursement
table545,column35639,Child Education
table545,column32570,Fixed Amount
table545,column28704,Yearly Allowance
table545,column29145,Total Yearly Allowance Claimed
table545,column8497,Conveyance Allowance
table573,column38493,Thumb Rule Budget Escalation Percentage
table573,column38494,Thumb Rule Budget Contingencies Percentage
table573,column38495,Thumb Rule Budget Taxes Percentage
table549,column10600,Total Tax Amount
table549,column12639,Bill Amount
table606,column34271,Service Tax Principal Amount
table609,column38672,KKC Rate
table633,column41362,Exclusive Terrace / Balcony Area
table633,column41363,External Wall Area
table549,column27860,Service Tax Principal Amount
table549,column37506,Amount of SBC Payable By Us
table547,column39414,Project Name
table568,column42453,Revised Amt
table606,column33370,Service Tax Percentage
table606,column38668,SBC Rate
table609,column38671,SBC Rate
table609,column32908,Service Tax Amount
table573,column17635,Transaction End Date
table568,column42454,Freight Chgs
table568,column42460,Current Net Amt
table568,column42452,Current Amt
table568,column42455,Loading / Unloading Chgs
table568,column9019,Item Remarks
table545,column42615,UAN No.
table568,column42457,Net Amt
table568,column9015,Project Name
table568,column42459,Current Tax Code Amount
table568,column38982,Amend Qty
table568,column38980,Increase Qty
table568,column9023,GRN Closing Qty
table568,column31886,P.RNo
table568,column36189,Secondary Unit
table568,column36190,Secondary Qty
table568,column36429,PO Line ID
table568,column9021,GRN Received Qty
table568,column9022,GRN Balance Qty
table568,column36100,Item Code
table545,column42616,Bank Name
table545,column8575,Net Salary
table545,column45570,TDS Type
table545,column45496,Extra Work Incentive
table600,column12918,Factor
table600,column36243,Secondary Rate
table600,column10169,Item Desc
table604,column45586,Total Est Amt
table600,column10173,Est Amt
table545,column45764,VPF
table547,column8559,In Time
table547,column38113,Attendance Type
table600,column45821,Est Rate Prior Disc
table600,column44472,Discount
table600,column10172,Est Rate
table545,column46796,Safety Award
table633,column46985,Special Tax Code
table549,column48053,Type of Bill
table545,column8580,Gross Salary
table595,column23506,Project Name
table595,column37601,Team
table633,column41928,Discount
table633,column10691,Total Unit Amount
table633,column32852,Installment Type
table595,column9949,Mobile No1
table595,column41919,Inactive
table587,column48485,Client Activity Percentage
table587,column48484,Client Activity Code
table549,column48654,GST No.
table549,column48655,Location
table587,column48776,Overhead Activity
table549,column48777,Overhead Bill
table545,column48982,IFSC Code
table549,column50148,Nature of Creditor
table559,column50172,From Project
table559,column50173,To Project
table568,column50804,PO Expiry Date
table545,column50902,Over Time Hrs
table545,column50908,Variable WH
table549,column50919,Enquiry Source No.
table604,column10215,Nature of Work
table568,column45690,Est Rate
table633,column51179,Notional loss %
table633,column49327,NPV of Standard Payment Plan
table633,column49328,NPV of Payment Flexibility
table633,column49326,Interest Rate
table634,column10664,unused1
table604,column51189,Contractor Name1
table604,column51188,Process Type
table547,column8557,Employee Name
table542,column19996,Project Name
table543,column8451,Name of Company
table543,column8439,Employee Name
table542,column8431,Name of Company
table587,column52830,Budget Head Amount
table542,column8409,Employee Name
table547,column8558,Employee Code
table633,column49329,Notional Loss Amount
table633,column53116,Enquiry No
table549,column53785,Exchange Rate
table549,column53783,Import PO
table633,column54130,Member Code
table587,column53979,Schedule Rate State
table587,column53980,Schedule Rate Year
table587,column53981,Schedule Rate Type
table604,column54975,Due Date of Submission
table606,column54976,Due Date of Submission
table549,column54965,Update Stock
table549,column54969,Godown Name
table549,column53784,Currency
table545,column55008,NPS Deduction
table545,column45857,Personal Email
table549,column54997,Online Purchase
table549,column54998,Admin Request No
table542,column52838,Deduction Start Date
table549,column55748,Common Expense Ledger
table549,column56420,Currency1
table549,column56421,Conversion Rate
table549,column34782,Adjusted Ledger
table549,column12652,TDS Collected
table549,column56333,Username
table587,column55057,Expense Ledger
table567,column56457,Currency
table567,column56458,Conversion Rate
table609,column56478,Currency
table609,column56479,Conversion Rate
table606,column56473,Currency
table606,column56474,Conversion Rate
table542,column56776,Budget Code
table542,column56175,Foreign Salary Advance
table542,column56176,Foreign Deduct Advance
table542,column56166,Conversion Rate
table549,column56727,Main Ledger Name
table542,column56778,Main Ledger Name
table549,column56808,Asset Bill
table549,column57095,Final Bill Against PO/WO
table549,column57098,Payment Mode
table549,column57097,Invoice Cum Payment
table549,column57099,Bank/Cash Account
table549,column57096,Close PO/WO Amount
table633,column44266,Custom Double 6
table633,column44267,Custom Double 7
table549,column57100,Cheque No.
table549,column57240,Cheque Date
table568,column42456,Others Chgs
table568,column42458,Tax Code Amount
table633,column43671,Custom Double 2
table633,column43672,Custom Double 3
table633,column43673,Custom Double 4
table545,column42149,Budget Code
table633,column43674,Custom Double 5
table539,column57293,Grade
table640,column53912,Form Name
table542,column39453,Type
table609,column59072,GST No.
table549,column57937,Total Foreign Amount
table542,column8408,Employee Code
table542,column56164,Advance Currency
table549,column57777,194Q Category
table549,column57778,TDS Principal
table549,column57780,TDS Amount
table604,column55283,Document Type
table604,column55284,Document Description
table606,column55318,Document Type
table606,column55319,Document Description
table545,column58997,Income Tax Approval Data
table606,column10249,Nature of Work
table609,column59073,Location
table603,column10198,Contractor Name
table633,column10648,Unit No
table633,column10657,Party Name
table587,column59898,Calendar Name
table549,column59757,Unuded MDcombo
table549,column10590,Tax Amount1
table549,column10592,Tax Rate2
table549,column10593,Tax Amount2
table549,column10595,Tax Rate3
table549,column10596,Tax Amount3
table549,column10599,Tax Amount4
table549,column27861,VAT Principal Amount
table549,column38543,KKC Tax Rate
table549,column59758,Reference Bill
table549,column56566,Total Foreign Tax Amount
table549,column57779,Percentage
table549,column60626,Department
table549,column60643,Total Quantity
table567,column60878,Total Revised Amount
table567,column58708,Total Current Amt
table567,column58709,Total Revised Amt
table567,column58714,Revised Tax Code Amount
table567,column58715,Revised Net Amt
table567,column61367,Quotation Reg No
table567,column61027,Entry Type
table567,column61030,Amended P.O. No@S/1
table624,column10519,Depends On Activity ID
table599,column57988,194Q Approved Amount
table545,column62885,Final VPF Amount
table545,column62882,VPF Type
table545,column62883,VPF Rate
table545,column62884,VPF Amount
table609,column10330,Category of S.Tax
table545,column63119,PF Contribution On Arrears
table545,column63648,Pf contribution on Basic
table545,column63689,Education Allowance
table545,column63690,Site Allowance
table568,column63973,Due On
table633,column64148,Booking Date
table633,column64334,Attended By
table633,column64335,Team Lead
table633,column64400,Project Address
table545,column63120,PF Pension On Arrears
table545,column63125,PF Admin Charges on Arrears
table545,column63124,PF EDLI Charges on Arrears
table545,column63121,PF EDLI Admin On Arrears
table605,column64460,Selected Qty
table549,column64793,Sales Bill Reference No
table633,column65295,Email
table549,column8594,Name of Company
table549,column8597,Project Name
table549,column65449,Module Name
table635,column11411,Terms And Conditions
table587,column65552,READ ONLY
table545,column65493,Retention Money Release
table545,column65494,Retention Money Release Amount
table545,column65492,Retention Money Process Code
table691,column12400,To Date
table658,column26962,Tax Rate 6p
table658,column23084,Tax Rate 4
table658,column23081,Tax Rate 3
table691,column12393,Supplier Bill Date
table691,column12399,From Date
table668,column39693,Expected Results
table660,column22688,Case No
table649,column13200,Note
table650,column22837,TODELETE Premium Cost
table650,column11796,Transaction Type
table650,column30309,Remarks
table650,column22959,TODELETE Fungiable
table643,column63259,Visit Attend By
table643,column63260,Site Visit Remarks
table643,column63262,Site Visit Completed Date
table643,column64050,Site Visit Remarks
table643,column63261,Site Visit Date
table643,column64046,Site Visit Conduct On
table643,column64048,Site Visit Completed Date
table703,column12796,Opening Balance
table703,column29965,Dr Opening Balance
table703,column42564,Email Body
table710,column12906,L (m)
table648,column30315,Remarks
table648,column11777,File
table670,column30317,Remarks
table653,column14721,Name of Company
table690,column12375,Vat Rate
table690,column12350,P.O. No
table710,column12907,B (m)
table687,column12291,Out Wt1
table687,column12290,In Wt1
table687,column12295,Out Wt2
table649,column12031,Agent Name
table701,column12714,Material Bill Payments
table710,column12909,Qty
table649,column13158,Land Name
table690,column12367,PO-Amt
table690,column12369,Certified Rate
table686,column12253,Net Amount
table686,column12250,FAmt1
table690,column12376,FAmt3
table690,column12362,POFAmt1
table668,column13214,Pop on Task
table690,column12373,FAmt2
table690,column12372,Discount
table661,column11950,TODELETE Consultant Expertise
table691,column12392,Supplier Bill No
table690,column12366,POFAmt3
table690,column12365,PO-Vat Rate
table690,column12364,POFAmt2
table690,column12363,PO-Discount
table690,column12357,Item Remarks
table656,column22720,TODELETE Appeal
table656,column22719,TODELETE Judgement
table687,column12270,Address
table643,column63263,Site Visit Cancelled Date
table658,column26981,Notes
table658,column26890,Budget Group
table658,column23090,Show TDS Details
table658,column26901,Add VAT
table658,column26900,Add Service Taxes
table658,column26899,Total Amountt
table658,column26896,Case Name
table658,column23095,Total Credits
table658,column23082,Tax Amount 3
table658,column26909,Tax Amount 1
table658,column26925,Other Charges
table686,column12251,FAmt2
table690,column12355,Item Specs
table686,column12252,FAmt3
table648,column12037,Notes
table661,column11937,Notes
table687,column12298,GRN Weight
table658,column26960,Amt 5p
table658,column26963,Cess Colected
table658,column26880,Payments For
table658,column23086,Other Charge
table658,column26975,Approval Prioritys
table658,column23094,TDS Principal Amts
table658,column23089,TDS Deductions
table658,column23088,Bill Amounts
table658,column23087,Total Tax Amounts
table658,column23085,Tax Amount 4
table658,column26964,Amt 6p
table658,column26955,Amt 4p
table658,column26954,TDS Collectedd
table658,column23079,Tax Amount 2
table658,column26907,Categary of S.Tax
table658,column11894,Case Name
table658,column26893,Expenses Ledger Name
table658,column26908,Tax Rate 1
table658,column26883,Bill No1
table658,column23078,Tax Rate 2
table658,column26895,Expected Dates
table710,column15005,Dia (m)
table661,column11931,TODELETE Consulting Firm
table647,column11760,Group Position
table686,column12236,Sr No
table673,column12161,Description
table673,column12160,Document Name
table687,column12271,City
table691,column12431,Vat Rate2
table691,column12423,Vat Rate1
table691,column12440,VR1
table691,column12433,Tax Amount3
table691,column12435,SVat Rate2
table691,column12416,PService Tax
table691,column12418,Tax Amount1
table687,column12273,Country
table691,column12419,Total Amt1
table658,column23405,Percents of S.Tax Payable By Us
table658,column26894,Total Expenses Ledger Amount
table691,column12425,Tax Amount2
table691,column12426,Total Amt2
table691,column12434,Total Amt3
table691,column12444,VR2
table691,column12448,VR3
table691,column12452,VR4
table691,column12427,SVat Rate1
table687,column12272,State
table687,column12274,Pincode
table686,column12249,Vat Rate
table690,column12371,FAmt1
table690,column12349,Sr No
table686,column12304,Contractor GRN Entries
table691,column12708,Net Amt
table701,column12712,Party Name
table710,column12905,Nos
table661,column11936,TODELETE Consultant Profile
table656,column11875,TODELETE Advocate On Record
table656,column30999,Case No
table661,column17620,Architect Profile
table661,column17917,Type of Architect
table658,column26966,Total Payables Amount
table658,column11900,Notes
table658,column23113,Total Payable Amount
table658,column23111,Amt6p
table658,column26940,TDS Principal Amt
table691,column12391,Name of Bill
table658,column26889,Total Amount
table656,column24221,Appeal Case No
table691,column12401,From Challans
table668,column14086,CC to Users
table690,column12403,Purchase Bills Entries
table668,column23173,External Person Name
table691,column12709,Amt in Words
table658,column22913,Category of S.Tax
table656,column11874,Case Description
table656,column34119,Opponent Details
table670,column12119,Description
table658,column11905,Expected Date
table658,column11904,Bill Date1
table656,column22721,Remarks
table656,column24224,Advocate Details
table648,column31740,Name of Company
table651,column31742,Name of Company
table643,column11672,Customer Comments
table687,column12297,Avg Weight
table687,column12296,Difference Weight2
table687,column12292,Difference Weight1
table687,column12294,In Wt2
table691,column12715,Total Bill Payments
table687,column12277,Transporter Name
table687,column12280,Contractor Name
table687,column12268,Sub Project
table691,column12474,Terms and Conditions
table691,column12457,Deduction Details
table691,column12429,Freight Naration
table691,column12421,Unloading Naration
table691,column12415,Installation Naration
table691,column12405,Total Amount-PB
table668,column13109,Particulars S
table668,column13202,Depends on Task
table686,column12248,Discount
table662,column22678,Description
table662,column24245,Process Status
table656,column11869,Case Name
table670,column12118,Document Name
table662,column24233,Authority
table668,column13098,Task Dependancy
table668,column15215,Deleted Time
table662,column24238,Order
table662,column24250,L.P. No
table662,column14155,Not in Use field duration in days
table662,column22681,Consult Firm Name
table650,column11814,Transaction Terms
table650,column11799,Land Identification Name
table650,column11800,Nature of Deed
table690,column12361,PORate
table668,column12112,Remarks
table710,column12908,H / D (m)
table700,column12666,SRN List
table668,column39202,Mon
table668,column39203,Tue
table668,column39204,Wed
table668,column39205,Thu
table668,column39206,Fri
table668,column39207,Sat
table668,column39208,Sun
table668,column40766,Feedback
table662,column11957,Task Name
table662,column12067,Task Description
table662,column22689,Execution1
table662,column24242,Unused Department
table662,column22676,TODELETE Future Case Date
table662,column24244,Process State
table662,column30134,Reminder To Emails To Start
table662,column30135,Reminder To Emails For Completion
table662,column12126,Remarks
table660,column14083,Person Name
table700,column12695,Particulars
table700,column12696,Total Time
table658,column11903,Total Amounts
table658,column23406,Amounts of S.Tax Payable By Us
table651,column11828,Expertise
table668,column12109,Particulars
table647,column11747,Group Name
table702,column12775,LDetails
table649,column12039,Property No@Y/M/3
table668,column36116,Name of Company
table653,column11853,Expected Date
table668,column13070,Weightage
table668,column12111,Task Given By
table668,column13023,Project Name
table652,column11833,From Date
table653,column11844,Submission Date
table643,column11664,Date
table647,column11743,Start Date
table647,column11744,End Date
table665,column11974,From Date
table665,column11975,To Date
table657,column11882,From Date
table657,column11883,To Date
table702,column12770,Voucher Date
table657,column12050,Date
table648,column11773,Date
table687,column12258,G.R.N. Date
table653,column11852,Schedule Date
table691,column12382,Bill Date
table658,column26953,Tax Rate4p
table668,column13041,Approved Extension Days
table668,column12105,Task Date
table658,column26923,Tax Rate4
table658,column26916,Tax Rate3
table657,column11885,Allocate Amount
table652,column12044,Date
table701,column12746,Supplier Bill Date
table668,column12106,Task End Date
table648,column22947,Total Cost Per Sq Ft
table703,column12802,Location
table648,column30149,Construction Cost Per Sq Ft
table666,column11989,Amount
table687,column12261,Supplier Name
table660,column11923,Address
table703,column12803,City
table648,column22953,Profit / Loss
table691,column12386,Supplier Name
table648,column22949,Built-Up Area
table660,column25206,Contact Details For
table658,column23102,TDS Collected
table643,column15680,Followup Date
table660,column11925,State
table643,column15681,Now Date
table668,column13067,Task Extension Date
table703,column12801,Ledger PAN
table668,column13084,Root Target Date
table653,column14722,Ledger Name
table650,column13134,Total Agent Amt
table656,column24223,Opposite Party Type
table660,column25205,Lead No
table660,column11920,Mobile No
table660,column11919,Phone No
table660,column11918,Contact Name
table660,column11912,Consultant Firm Name
table660,column22694,Profession
table660,column11922,E-Mail
table660,column11913,TAN Number
table660,column22671,Designation
table660,column22884,Company Type
table660,column11924,Country
table660,column11916,Category of S.Tax
table649,column12040,Date
table649,column24925,Lead No
table649,column11781,Property Code
table649,column11786,Country
table649,column30148,Total Transaction Value
table649,column11787,State
table650,column23850,Lead No
table650,column12042,Date
table650,column11795,Project Type
table650,column12032,Agent Name
table650,column13110,Property Code
table650,column13111,Name of Company
table650,column11794,Land Name
table650,column14712,Unique
table650,column11802,Land Dimensions
table650,column23852,Mandal / Ward
table650,column23853,Revenue Village
table650,column21804,Land Khasra No
table650,column11803,Land Use District No
table650,column11806,Corner Plot
table650,column11813,Transaction Date
table650,column11808,Stamp Duty Amount
table650,column11810,Other Charges
table650,column11812,Total Transaction Value
table650,column11815,Inspected By
table650,column11816,Inspected Date
table650,column11817,Assigned To
table662,column12124,Responsible Person
table703,column32069,Multi Group Ledger Printing
table690,column36089,Item Code
table690,column12359,Received Qty
table668,column14088,Follow Up On
table643,column44428,Remarks
table703,column12798,Company PAN
table703,column12804,State
table703,column12805,Country
table703,column12806,Pincode
table703,column12785,Ledger Name
table703,column42562,BCC Email Id
table703,column44430,With Narration
table691,column12383,Name of Company
table650,column11807,Consideration Amount
table650,column11809,Registration Amount
table650,column11811,Amount Allocate To Agent
table686,column12246,Received Qty
table657,column11881,Property
table648,column12036,Feasibility No@FS/Y/M/3
table648,column22943,TDR Area
table661,column11948,Website
table666,column11987,Mode Of Payment
table666,column22854,Payment fo Document
table666,column11985,Certifying Company
table666,column22845,Payment No@Y/M/3
table666,column22846,Payment Date
table666,column11992,Payment Instructions
table666,column22847,Favouring
table666,column11986,Sanction Name
table653,column11849,Mode Of Payment
table648,column11775,No Property Name
table653,column11845,Property Name
table652,column11832,Property
table690,column12358,Unit
table702,column12768,Name of Company
table703,column12794,End Date
table702,column12769,Voucher No
table700,column12691,SRN No
table700,column12698,Net Amount
table700,column12729,Total Trips
table652,column11835,Budgeted Amount
table652,column11836,Allocate Amount
table652,column11840,Balance Amount
table652,column11839,Paid Amount
table652,column11838,Approved Amount
table657,column11886,Submitted Amount
table665,column11976,Budgeted Amount
table657,column11884,Budgeted Amount
table653,column11851,Amount
table702,column12778,Dr Amount
table665,column11979,Approval Amount
table643,column11670,Project Name
table660,column11926,City 
table665,column11977,Allocated Amount
table665,column11978,Submitted Amount
table702,column12779,Cr Amount
table687,column12284,Maximum Height
table660,column11921,Fax
table660,column11927,Pincode
table650,column11818,Notes
table649,column11783,Status of Property
table650,column23857,Upper Limit
table650,column23856,Lower Limit
table661,column11944,Phone (Off)
table649,column11790,Pincode
table650,column11801,Physical Area sq mt
table650,column13122,Total Share
table666,column11988,Consult Firm Name
table666,column22855,Not Document No
table673,column22840,file
table666,column11984,Payment For
table673,column22838,Update Date
table661,column11951,Area of Expertise
table686,column12242,Unit
table686,column12241,Item Remarks
table686,column12719,Challan Qty
table661,column11953,Rating
table690,column12356,Item Brand
table703,column12784,Name of Company
table703,column12807,Date
table661,column17621,Architect Expertise
table661,column11952,Specialty / Scale of Project
table661,column11939,Address
table658,column22914,Payment Category
table658,column22885,Payment Scheduling Is Done
table656,column22685,Case Running In
table700,column12693,Challan No
table700,column12694,Nature of Work
table700,column12697,Total Hours
table700,column12699,Bill Amount
table700,column12692,SRN Date
table656,column11871,Case No
table687,column12262,Phone No
table658,column22908,Payment ID No
table651,column11827,Address
table661,column11940,Country
table661,column11945,Phone (Res)
table661,column11943,Pincode
table661,column11949,Fax No.
table661,column11942,City
table658,column22919,Deduction
table658,column11893,Date
table657,column11889,Balance Amount
table657,column11888,Paid Amount
table648,column22951,Sale Rate
table687,column12285,Height In Inches
table673,column12159,Document Category
table648,column22954,Final Sale Rate
table658,column23075,Tax Rate1
table658,column26958,Tax Rate5p
table670,column24935,Path
table658,column12078,Payment No@Y/M/3
table687,column12281,Vehicle No
table670,column23541,Document Sub Category
table666,column11991,Description
table687,column12266,Project Name
table658,column26886,Payment Mode
table658,column11902,Bill No
table658,column11895,Party Name
table658,column22703,Case No
table658,column11892,Payment For
table651,column11997,PAN Number
table670,column12167,Consultant Name
table664,column11969,Category
table702,column12772,Account Head
table661,column17619,Architect Firm
table658,column11896,Consultant Name
table702,column12771,Ledger Name
table665,column11980,Paid Amount
table652,column11837,Submitted Amount
table687,column12269,Godown Name
table665,column11973,Name 
table647,column11748,Ledger Name
table687,column12259,Company Code
table651,column11824,Phone No
table647,column11745,Name of Company
table665,column11972,Budget For
table651,column11823,Person Name 
table657,column12049,Budget No@Y/M/3
table648,column22941,TDR
table657,column11887,Approved Amount
table648,column22956,Fungiable
table691,column12387,Tax Status
table691,column12385,Company Code
table691,column12432,Freight Chgs
table691,column12417,Installation Chgs
table687,column12265,Contact Person
table691,column12381,Bill No@MCB/Y/4
table687,column12299,Weight Difference
table687,column12293,Name of Weight2
table687,column12300,Allow Wt Difference
table701,column12713,Amount
table687,column12275,Dealer Name
table647,column11750,Opening Balance Dr
table647,column11754,Current Balance Dr
table647,column11756,Current Balance Cr
table670,column22718,Upload Date
table653,column12046,Payment No@Y/M/3
table710,column12904,Particulars of Items
table653,column12075,Land Name
table653,column13199,Land No
table653,column11850,Favouring
table653,column11848,Certificate No.
table653,column11847,Certifying Company
table653,column11843,Payment For
table653,column12076,Land Other Chaarges
table661,column11935,Statutory Registration
table670,column24936,Current Owner
table714,column13001,Project Name
table643,column11667,Telephone2
table661,column11934,PAN No
table687,column12263,Mobile No
table648,column22950,Saleable Area
table661,column11946,Mobile No
table651,column11825,Mobile No
table648,column22944,Construction Area
table658,column23124,Approval Priority
table643,column15687,Attended By
table658,column26876,Projects Name
table691,column12398,Sub Project
table687,column12267,Project Code
table687,column12257,G.R. No@CGRN/Y/5
table658,column11901,Payment Modes
table658,column11897,Property
table658,column26885,Consultant Names
table658,column26882,Party Names
table658,column26881,Case No
table658,column26892,Deductions
table658,column26891,Payables Amount
table658,column26959,Surcharge Collected
table658,column23107,Amt5p
table658,column26944,Total Credit
table658,column23110,Cess Collected
table658,column23103,Amt4p
table658,column23106,Surcharge Collected
table652,column11831,Name of Company
table686,column12240,Item Brand
table658,column23070,Add VAT
table658,column26929,Advance Balance
table656,column11877,Last Updated By
table656,column11876,Last Updated On
table658,column26933,Show TDS Details
table658,column26932,TDS Deduction
table658,column26926,Total Tax Amount
table658,column26924,Tax Amount4
table656,column22686,Related To
table658,column26921,Amount of S.Tax Payable By Us
table658,column26917,Tax Amount3
table658,column22917,Payable Amount
table658,column26930,Adjust Amount
table658,column26913,Tax Amount2
table656,column22683,Case Type
table656,column12061,Plaintff / Petitioner
table658,column23076,Tax Amount1
table658,column23069,Add Service Tax
table658,column23145,Budget Group
table656,column24216,Notice Type
table656,column11870,Defendant / Respondent
table656,column11873,Name of Judge / Court Room No
table656,column22684,Case Category
table658,column22916,Total Expense Ledger Amount
table643,column15679,Followup Methode
table668,column13032,Responsible Group
table643,column32975,TEnq No
table652,column12043,Budget No@y/m/3
table662,column38682,Sub Department
table691,column12397,Work Order No Perc
table643,column11668,Mobile1
table643,column11669,Mobile2
table670,column24934,Physical Location
table670,column22668,File
table670,column32995,Project Type
table670,column23543,Remind Date
table668,column12104,Task ID@Y/S/4//S/2
table643,column33403,Call Back Parameter
table643,column33402,Analysis Parameter
table643,column33404,Source
table643,column33406,Source Description
table643,column33405,Source Name
table691,column12389,Project Name
table668,column13072,Root ID
table668,column13211,Root Start Date
table668,column13081,Counter
table668,column13104,Revision
table668,column13068,Wing
table691,column12396,Work Order No Area
table686,column12247,Unbilled Qty
table691,column12394,Contractor Name
table668,column13105,Request for Extension
table661,column12074,Location
table668,column13071,Depends on
table668,column15268,Finish
table661,column11941,State
table649,column11789,Location
table660,column34540,Location
table701,column12711,Supplier Bill No
table670,column31000,Case History Id
table668,column13108,Wing S
table658,column23143,Expense Ledger Name
table666,column22857,Document No
table670,column12117,Document Category
table656,column22723,Name of Company
table666,column11990,Payment Due Date
table687,column12260,Name of Company
table656,column12051,Court Case No@CC/Y/M/3
table670,column25161,Lead No
table670,column12168,Task Sr No
table670,column22717,Case No
table670,column24937,DOC No@DOC/H/Y/H/M/1
table666,column22849,Expected Date
table714,column13002,Sub Project
table656,column24213,Date
table643,column21696,Lead Status
table658,column26884,Bill Date
table656,column24215,Notice Recived Date
table668,column13106,Project Name S
table651,column11826,E-Mail
table661,column11947,E-Mail
table656,column12052,Current Case Status
table673,column12169,Land Name
table673,column12170,Property Name
table656,column24230,Plaintiff
table649,column11788,City
table649,column11785,Property Address
table660,column22669,Service Tax No
table660,column22912,Add Service Tax
table660,column11914,TIN Number
table660,column22883,Company Status
table660,column11915,PAN/IT No
table666,column22850,Name of Company
table649,column13201,Company Code
table649,column11782,Name of Company
table703,column12786,Address
table658,column11899,Name of Company
table658,column23558,Our Company Status
table670,column23544,Name of Company
table649,column11780,Property Name
table666,column22851,Project Name
table670,column23542,Project Name
table658,column22852,Project Name
table668,column13107,Sub Project S
table658,column26920,Percent of S.Tax Payable By Us
table658,column26912,Tax Rate2
table658,column23109,Tax Rate6p
table658,column23105,Tax Rate5p
table660,column22882,Tax Category
table658,column23101,Tax Rate4p
table662,column22702,Task Group
table661,column11933,Contact Designation
table661,column11932,Contact Person
table668,column37289,Client Responsible User
table668,column37282,Form Name
table668,column37288,Client Handover Date
table668,column37290,Client Email ID
table668,column37291,Client Mobile No.
table668,column13024,Sub Project
table668,column37364,Custom Fields
table643,column11665,Party Name
table687,column12276,Challan No
table687,column12278,Tax Status
table687,column12287,Weight Required
table687,column12301,Net Wt Difference
table687,column12289,Name of Weight
table687,column12286,Volume In Brass
table687,column12283,Breadth In Inches
table687,column12279,Vehicle Measure Required
table690,column12351,G.R. No
table691,column12458,Deduction Amt
table690,column12352,Challan No
table691,column12395,Work Order Type
table691,column12424,Unloading Chgs
table690,column12377,Net Amount
table690,column12354,Item Desc
table690,column12353,Item Group
table690,column12368,Rate
table662,column12120,Actual Start Date
table662,column32953,Delay In End
table668,column13021,Parent Task ID
table668,column13040,Required Extension Days
table686,column12238,Item Group
table687,column12282,Length In Inches
table665,column11981,Balance Payment
table651,column11822,Agent Code
table662,column12125,Job Given By
table714,column13000,Member Name
table670,column30185,Department
table703,column42561,CC Email Id
table656,column24218,Case Belong To Particular Lead
table656,column24217,Court Type
table668,column14673,Auto Reject Counter
table643,column11666,Telephone1
table643,column11673,User Name
table643,column11674,Status
table643,column18129,Telecall Attended By
table687,column12288,Work Order No.
table652,column11834,To Date
table668,column14085,Percentage Completed
table662,column12123,Remind On
table668,column13064,Res  Person
table662,column33232,Manual Schedule Start Date
table662,column32951,Delay In Start
table703,column12793,Start Date
table656,column24220,Case Appeal
table668,column12107,Task Target Date
table702,column12777,Clear Date
table662,column24239,PID
table662,column30128,Percent Completed
table686,column36088,Item Code
table662,column12121,Actual End Date
table662,column31304,Depends on Activity
table662,column12122,Target Date
table662,column22680,Date
table662,column33014,Validity Duration In Days
table662,column30184,Original Document With
table662,column12071,File Name
table650,column12041,Land No
table650,column11797,Documented Area sq mt
table650,column23854,District
table648,column22946,Total Land Cost
table649,column30146,Zone
table650,column11793,Property Name
table650,column11804,Zone
table658,column11898,Land
table658,column26879,Land
table658,column26877,Property Name
table653,column11846,Agent Name
table651,column11821,Agent Name
table657,column11880,Name of Company
table656,column24219,Lead No
table658,column26878,Work Order No
table648,column22853,Land Name
table648,column11774,Property Name
table648,column11776,Land No
table649,column30147,Documented Area sq mt
table668,column13063,Request  Person
table643,column38271,Revisit
table668,column37281,Module Name
table668,column37286,Task Duration HHMM
table668,column37287,Task Duration Hours
table668,column37283,Issue Type
table686,column12239,Item Desc
table668,column12108,Remind On
table668,column39201,Set Weekly Reminder
table643,column15678,Enquiry No.
table662,column25179,Expected Accomplishment of Task In Week No
table662,column24240,Check Count
table668,column40767,Review Rating Star
table662,column25178,Departments
table662,column30124,Group
table662,column30127,Milestone
table662,column31306,Level
table662,column31307,Activity Name
table662,column30133,Reminder On End Of This Task
table662,column22674,Case No
